رقم	اسم البلدية	Commune - Fr
2109	السبت	ES SEBT
2131	الشرائع	CHERAIA
2133	الغدير	EL GHEDIR
2110	القل	COLLO
2112	الكركرة	KERKERA
2138	المرسى	EL MARSA
2135	الولجة بو البلوط	OULDJA BOULBALOUT
2107	بكوش الأخضر	BEKKOUCHE LAKHDAR
2108	بن عزوز	BENAZOUZ
2124	بنى بشير	BENI BECHIR
2111	بنى زيد	BENI ZID
2121	بنى ولبان	BENI OULBANE
2134	بوشطاطة	BOUCHTATA
2129	بين الويدان	BIR EL OUIDEN
2126	تمالوس	TAMALOUS
2105	جندل سيدي محمد	DJENDEL SAADI MED
2137	حمادى كرومة	HAMADI KROUMA
2136	خنق مايوم	KHENEG MAYOUM
2123	رمضان جمال	RAMDANE DJAMEL
2117	زردازس	ZERDAZAS
2101	سكيكدة	SKIKDA
2119	سيدي مزغيش	SIDI MEZGHICHE
2125	صالح بو الشعور	SALAH BOUCHAOUR
2104	عزابة	AZZABA
2122	عين بوزيان	AIN BOUZIANE
2102	عين زويت	AIN ZOUIT
2106	عين شرشار	AIN CHERCHAR
2127	عين قشرة	AIN KECHRA
2130	فليفلة	FIL FILA
2132	قنوع	KANOUA
2120	مجاز الدشيش	EMDJEZ EDCHICH
2114	وادى الزھور	OUED ZEHOUR
2212	أمرناس	AMARNAS
2245	ابن باديس	BEN BADIS
2219	الحصيبة	EL HACAIBA
2232	الضاية	DHAYA
2248	بئر الحمام	BIR EL HAMMAM
2209	بدر الدين المقرانى	BADREDINE EL MOKRANI
2242	بلعربى	BELARBI
2251	بن شيبة شيلية	BENCHIBA
2207	بو خنيفيس	BOUKHNAFIS
2238	بوجبع البرج	BOUDJBAA.B
2249	تاردموت	TAOUDMOUT
2211	تافسون	TAFISSOUR
2205	تالغ	TELAGH
2202	تسالة	TESSALA
2244	تغاليمت	TEGHELIMET
2213	تلمونى	TILMOUNI
2217	تنبرة	TENIRA
2252	حاسى دحو	HASSI DAHOU
2220	حاسى زھانة	HASSI ZAHANA
2223	رأس الماء	RAS EL MA
2250	رجم دموش	REDJEM DEMOUCHE
2233	زروالة	ZEROUALA
2239	سحالة ثاورة	SEHALA TAOURA
2229	سفيزف	SFISEF
2203	سيدي ابراھيم	SIDI BRAHIM
2201	سيدي بلعباس	SIDI BEL ABBES
2241	سيدي حمادوش	SIDI HAMADOUCHE
2227	سيدي خالد	SIDI KHALED
2236	سيدي دحو الزاير	SIDI DAHO DE ZAIRS
2235	سيدي شعيب	SIDI CHAIB
2246	سيدي على بن يوب	SIDI ALI BENYOUB
2208	سيدي على بوسيدى	SIDI ALI BOUSSIDI
2214	سيدي لحسن	SIDI LAHCENE
2240	سيدي يعقوب	SIDI YACOUB
2247	شتوان باليلة	CHETOUANE
2221	طابية	TABIA
2228	عين البرد	AIN EL BERD
2215	عين الثريد	AIN TRID
2224	عين تندمين	AIN TADMINE
2230	عين عدان	AIN ADDEN
2225	عين قادة	AIN KADA
2234	لمطار	LEMTAR
2210	مرحوم	MARHOUM
2222	مرين	MERINE
2206	مزاورو	MEZAOUROU
2226	مسيد	MCID
2204	مصطفى بن ابراھيم	MOSTAFA BEN BRAHIM
2216	مقدرة	MAKHEDRA
2218	موالى سليسن	MOULAY SLISSEN
2237	وادى السبع	OUED SEBAA
2231	وادى تاوريرة	OUED TAOURIA
2243	وادى سفيون	OUED SEFIOUN
2305	البوني	EL BOUNI
2303	الحجار	EL HADJAR
2307	الشرفة	CHEURFA
2304	العلمة	EULMA
2302	برحال	BERRAHAL
2312	تريت	TREAT
2308	سعايدي	SERAIDI
2311	سيدي عامر	SIDI AMER
2310	شطايبي	CHETAIBI
2301	عنابة	ANNABA
2309	عين بوردة	AIN BERDA
2306	وادي العنب	OUED EL ANEB
2409	الدھوارة	DAHOURA
2428	الركنية	ROKNIA
2420	الفجوج	EL FEDJOUDJ
2421	برج صباط	BORDJ SABAT
2410	بلخير	BELKHIR
2411	بن جراح	BENDJARAH
2416	بنى مزلين	BENI MEZLINE
2417	بوحشانة	BOUHACHANA
2412	بوحمدان	BOUHAMDANE
2425	بوشقوف	BOUCHEGOUF
2403	بوعاطي محمود	BOUATI MAHMOUD
2431	بومھرة أحمد	BOUMAHRA AHMED
2405	تاملوكة	TAMLOUKA
2434	جبالة الخميسى	DJEBALA KHEMISSI
2419	حمام المسخوطين	HAMMAM DEBAGH
2422	حمام النبايل	HAMMAM NBAIL
2415	خزارة	KHEZARAS
2408	راس العقبة	RAS EL AGBA
2429	سالوة عنونة	SELLAOUA ANOUNA
2427	عين الحساينية	AIN HESSANIA
2423	عين العربى	AIN LARBI
2414	عين بن بيضاء	AIN BEN BEIDA
2432	عين رقادة	AIN REGADA
2407	عين صاندل	AIN SANDEL
2413	عين مخلوف	AIN MAKHLOUF
2401	قالمة	GUELMA
2418	قلعة بوسبع	GUELAAT BOU SBAA
2430	مجاز الصفاء	MEDJEZ SFA
2424	مجاز عمار	MEDJEZ AMAR
2402	نشماية	NECHMEYA
2433	وادى الشحم	OUED CHEHAM
2404	وادي زناتي	OUED ZENATI
2406	وادي فراغة	OUED FRAGHA
2426	ھيليوبوليس	HELIOPOLIS
2509	أولاد رحمون	OULED RAHMOUNE
2512	ابن زياد	IBN ZIAD
2506	الخروب	EL KHROUB
2503	الھرية	IBN BADIS
2508	بنى حميدان	BENI HAMIDEN
2502	حامة بوزيان	HAMMA BOUZIANE
2505	ديدوش مراد	DIDOUCHE MOURAD
2504	زيغود يوسف	ZIGHOUT YOUCEF
2510	عين سمارة	AIN SMARA
2507	عين عبيد	AIN ABID
2501	قسنطينة	CONSTANTINE
2511	مسعود بوجريوة	MESSAOUD BOUJERIOU
2642	أم الجليل	OUM DJALIL
2612	أولاد ابراھيم	OULED BRAHIM
2627	أولاد بوعشرة	OULED BOUACHRA
2658	أولاد عنتر	OULED ANTAR
2603	أولاد معرف	OULED MAAREF
2622	أولاد ھالل	OULED HELLAL
2647	البرواقية	BERROUAGHIA
2616	الحمدانية	EL HAMDANIA
2653	الحوضان	DEUX BASSINS
2620	الربعية	REBAIA
2634	الزبيرية	ZOUBIRIA
2633	السواقى	SOUAGUI
2638	الشھبونية	CHAHBOUNIA
2607	العمرية	EL OMARIA
2657	العوينات	EL OUINET
2605	العيساوية	AISSAOUIA
2636	الفزيزية	EL AZIZIA
2609	القلب الكبير	EL GUELB EL KEBIR
2617	الكاف الأخضر	KEF LAKHDAR
2601	المدية	MEDEA
2606	اوالد دايد	OULED DEIDE
2656	بئر بن العابد	BIR BEN LAABED
2624	بعطة	BAATA
2630	بن شكاو	BENCHICAO
2646	بنى سليمان	BENI SLIMANE
2619	بوسكن	BOUSKENE
2621	بوشراحيل	BOUCHRAHIL
2610	بوعيش	BOU AICHE
2659	بوعيشون	BOUAICHOUNE
2625	بوغار	BOGHAR
2651	بوغزول	BOUGHEZOUL
2652	تابالط	TABLAT
2615	تامسقيدة	TAMESGUIDA
2623	تفراوت	TAFRAOUT
2645	ثالثة الدوار	TLATET EDDOUAR
2637	جواب	DJOUAB
2660	حناشة	HANNACHA
2663	خامس بوجمعة	KHAMS DJOUAMAA
2608	دراق	DERRAG
2613	دميات	TIZI MAHDI
2654	ذراع السمار	DRAA ESSAMAR
2664	سانق	SANEG
2648	سغوان	SEGHOUANE
2644	سى المحجوب	SI MAHDJOUB
2655	سيدي الربيع	SIDI ERRABIA
2626	سيدي النعمان	SIDI NAAMANE
2631	سيدى دامد	SIDI DAMED
2614	سيدي زيان	SIDI ZIANE
2628	سيدي زھار	SIDI ZAHAR
2618	شلالة العذاورة	CHELLALET ADHAOURA
2640	شنيقل	CHENIGUEL
2661	صدراية	SEDRAIA
2632	عزيز	AZIZ
2643	عوامرى	OUAMRI
2641	عين القصير	AIN OUKSIR
2604	عين بوسيف	AIN BOUCIF
2635	قصر البخارى	KSAR BOUKHARI
2662	مجبر	MOUDJBAR
2611	مزغنة	MEZERANA
2639	مغراوة	MEGHRAOUA
2649	مفتاحة	MEFTAHA
2650	ميھوب	MIHOUB
2629	وادى حربيل	OUED HARBIL
2602	وزرة	OUZERA
2725	أولاد بوغالم	OULED BOUGHALEM
2726	أولاد مع ?	OULED MAALEF
2732	الحسيان	EL HASSIANE
2724	السوافلية	SOUAFLIA
2731	الطواھيرية	TOUAHRIA
2719	بوقيراط	BOUGUIRAT
2729	تزقايت	TAZGAIT
2706	حاسى معاش	HASI MAMECHE
2714	حجاج	HADJADJ
2718	خضراء	KHADRA
2711	خير الدين	KHEIREDINE
2704	ستيدية	STIDIA
2710	سيدي بلعاتر	SIDI BELATAR
2712	سيدي على	SIDI ALI
2716	سيدي لخضر	SIDI LAKHDAR
2720	سيرات	SIRAT
2730	صفصاف	SAF SAF
2708	صور	SOUR
2702	صيادة	SAYADA
2713	عبد المالك رمضان	ABDELMALEK RAMDANE
2717	عشعاشة	ACHAACHA
2728	عين بودينار	AIN BOUDINAR
2707	عين تادلس	AIN TEDLES
2721	عين سيدي الشريف	AIN S.CHERIF
2705	عين نويسى	AIN NOUISSY
2703	فرناكة	FORNAKA
2722	ماسرة	MESRA
2727	مزغران	MAZAGRAN
2701	مستغانم	MOSTAGANEM
2723	منصورة	MANSOURAH
2715	نقمارية	NEKMARIA
2709	وادى الخير	OUED EL KHEIR
2804	أولاد دراج	OULED DERRADJ
2825	أولاد سليمان	OULED SLIMANE
2821	أولاد سيدي ابراھيم	OULED SIDI BRAHIM
2814	أولاد عدى القبالة	OULED ADDI GUEBALA
2839	أولاد عطية	OULED ATIA
2810	أولاد ماضى	OULED MAHDI
2828	أولاد منصور	OULED MANSOUR
2826	الحوامد	EL HOUAMED
2833	الزرزور	ZARZOUR
2840	الصوامع	SOUAMAA
2801	المسيلة	MSILA
2806	المطارفة	MTARFA
2829	المعاريف	MAARIF
2802	المعاضيد	MAADID
2827	الھامل	EL HAMEL
2836	بئر الفضة	BIR FODA
2812	برھوم	BERHOUM
2815	بلعايبة	BELAIBA
2835	بن الزوه	BENZOUH
2824	بن سرور	BEN SROUR
2845	بنى يلمان	BENI ILMANE
2820	بوسعادة	BOUSAADA
2831	بوطى السايح	BOUTI SAYAH
2805	تارمونت	TARMOUNT
2823	تامسة	TAMSA
2847	جبل مسعد	DJEBEL MESSAAD
2803	حمام الضلعة	HAMMAM DHALAA
2807	خبانة	KHOUBANA
2832	خطوطي صجير	KHETTOUTI SED EL DJIR
2830	دھاھنة	DEHAHNA
2843	سليم	SLIM
2822	سيدي عامر	SIDI AMEUR
2816	سيدي عيسى	SIDI AISSA
2838	سيدي محمد	SIDI MHAMED
2818	سيدي ھجرس	SIDI HADJERES
2809	شالل	CHELLAL
2817	عين الحجل	AIN EL HADJEL
2844	عين الريش	AIN ERRICH
2841	عين الملح	AIN EL MELH
2813	عين خضراء	AIN KHADRA
2837	عين فارس	AIN FARES
2842	مجدل	MEDJEDEL
2808	مسيف	MCIF
2811	مقرة	MAGRA
2834	وادى الشعير	MOHAMED BOUDIAF
2846	ولتام	OULTENE
2819	ونوغة	OUANOUGHA
2917	البرج	EL BORDJ
2934	الغمري	EL GHOMRI
2929	القعدة	EL GAADA
2940	الكورت	EL KEURT
2939	المامونية	EL MAMOUNIA
2931	المحمدية	MOHAMMADIA
2921	المنور	EL MENAOUER
2907	الھاشم	EL HACHEM
2919	بنيان	BENIAN
2902	بوحنيفية	BOU HANIFIA
2937	بوھاتي	BOU HENNI
2903	تيزي	TIZI
2906	تيغنيف	TEGHENIF
2904	حسين	HACINE
2920	خالوفة	KHALOUIA
2944	راس عين عميروش	RAS AIN AMIROUCHE
2909	زلماطة	ZELMATA
2930	زھانة	ZAHANA
2935	سجرارة	SEDJERARA
2947	سحايلية	SEHAILIA
2916	سيدي بوسعيد	SIDI BOUSSAID
2946	سيدي عبد الجيار	SIDI ABDELDJEBAR
2932	سيدي عبد المومن	SIDI ABDELMOUMENE
2908	سيدي قادة	SIDI KADA
2926	سيق	SIG
2943	شرفة	CHORFA
2928	عاليمية	ALAIMIA
2927	عقاز	OGGAZ
2923	عوف	AOUF
2924	عين فارس	AIN FARES
2911	عين فراح	AIN FERAH
2925	عين فراس	AIN FRASS
2918	عين فكان	AIN FEKAN
2942	غرجوم	GUERDJOUM
2941	غروس	GHARROUS
2912	غريس	GHRISS
2933	فرقيق	FERRAGUIG
2913	فروحة	FROHA
2938	قتنة	EL GUETTENA
2914	ماتي مور	MATEMORE
2901	معسكر	MASCARA
2905	معوسة	MAOUSSA
2936	مقتادوز	MOCTA DOUZ
2915	مكضة	MAKDHA
2945	نصمت	NESMOT
2910	واد الأبطال	OUED EL ABTAL
2922	واد التارية	OUED TARIA
3021	البرمة	EL BORMA
3014	الحجيرة	EL HADJIRA
3005	الرويسات	ROUISSET
3009	الزاوية العابدية	ZAOUIA EL ABIDIA
3015	الطيبات	TAIBET
3020	العالية	EL ALLIA
3019	المقارين	MEGARINE
3018	المنقر	MNAGUER
3006	بليدة عامر	BALIDAT AMEUR
3017	بن ناصر	BENACEUR
3016	تماسين	TAMACINE
3013	توقرت	TOUGGOURT
3007	تيبسبست	TEBESBEST
3012	حاسي بن عبد ?	HASSI BEN ABDELLAH
3004	حاسى مسعود	HASSI MESSAOUD
3011	سيدي خويلد	SIDI KHOUILED
3010	سيدي سليمان	SIDI SLIMANE
3002	عين البيضاء	AIN BEIDA
3008	نزلة	NEZLA
3003	نقوسة	NGOUSSA
3001	ورقلة	OUARGLA
3106	أرزيو	ARZEW
3118	البراية	EL BRAYA
3105	السانية	ES SENIA
3110	العنصر	EL ANCAR
3117	الكرمة	EL KERMA
3115	المرسى الكبير	MERS EL KEBIR
3103	بئر الجير	BIR EL DJIR
3107	بطيوة	BETHIOUA
3120	بن فريحة	BENFREHA
3124	بوتليليس	BOUTLELIS
3116	بوصفر	BOUSFER
3114	بوفتيس	BOUFATIS
3119	حاسى بن عقبة	HASSI BEN OKBA
3104	حاسي بونيف	HASSI BOUNIF
3121	حاسى مفسوخ	HASSI MEFSOUKH
3113	سيدي الشحمى	SIDI CHAMI
3122	سيدي بن يبقى	SIDI BEN YEBKA
3112	طفراوى	TAFRAOUI
3126	عين البية	AIN BIYA
3109	عين الترك	AIN TURK
3125	عين الكرمة	AIN KERMA
3102	قديل	GDYEL
3108	مرسى الحجاج	MARSAT EL HADJADJ
3123	مسرغين	MISSERGHIN
3111	وادى تليالت	OUED TLELAT
3101	وھران	ORAN
3216	البنود	EL BNOUD
3201	البيض	EL BAYADH
3207	البيض سيدي الشيخ	EL ABIODH SIDI CHEIKH
3211	الخيثر	EL KHEITER
3217	الشقيق	CHEGUIG
3212	الكاف الأحمر	KEF LAHMAR
3219	المھارة	MEHARA
3204	بريزينة	BREZINA
3213	بوسمغون	BOUSSEMGHOUN
3206	بوعالم	BOUALEM
3210	بوقطب	BOUGTOUB
3220	توسمولين	TOUSMOULINE
3202	روقاصة	ROGASSA
3203	ستيتين	STITTEN
3221	سيدي سليمان	SIDI SLIMANE
3222	سيدي طيفور	SIDI TIFOUR
3218	سيدي عامر	SIDI AMAR
3214	شاللة	CHELLALA
3209	عرباوة	ARBAOUAT
3208	عين العراك	AIN EL ORAK
3205	غسول	GHASSOUL
3215	كراكدة	KRAKDA
3306	ان اميناس	IN AMENAS
3301	ايليزى	ILLIZI
3305	برج الحواس	BORDJ EL HOUASSE
3304	برج عمر ادريس	BORDJ OMAR DRISS
3302	جانت	DJANET
3303	دبداب	DEB DEB
3416	إلماين	EL MAIN
3417	أولاد براھم	OULED BRAHIM
3418	أولاد دحمان	OULED DAHMANE
3434	الحرازة	HARAZA
3411	الحمادية	EL HAMADIA
3433	الرابطة	RABTA
3427	العش	EL ACH
3407	العشير	EL ACHIR
3428	العنصر	EL ANCEUR
3432	الغسالة	GHILASSA
3422	القصور	KSOUR
3405	المھير	EL MHIR
3431	بئر قصدالي	BIR KASDALI
3401	برج بوعريرج	BBARRERIDJ
3403	برج زمورة	BORDJ ZEMOURA
3409	برج غدير	BORDJ GHEDIR
3412	بليمور	BELIMOUR
3406	بن داود	BEN DAOUD
3429	تسمارت	TESMART
3424	تفرق	TAFREG
3421	تقاليت	TAGLAIT
3426	تقصطر	TIXTER
3414	ثنية النصر	TENIET EN NASR
3415	جعافرة	DJAAFRA
3419	حسناوة	HASNAOUA
3420	خليل	KHELIL
3402	راس الواد	RAS EL OUED
3410	سيدي مبارك	SIDI EMBAREK
3408	عين تاغروت	AIN TAGHROUT
3430	عين تسرة	AIN TESRA
3425	قلة	COLLA
3413	مجانة	MEDJANA
3404	منصورة	MANSOURA
3423	والد سيدي براھيم	OULED SIDI BRAHIM
3503	أفير	AFIR
3521	أولاد عيسى	OULED AISSA
3517	أولاد موسى	OULED MOUSSA
3528	أولاد ھداج	OULED HEDADJ
3518	الأربعطاش	LARBATACHE
3514	الثنية	THENIA
3532	الخروبة	EL KHARROUBA
3507	الناصرية	NACIRIA
3504	برج منايل	BORDJ MENAIEL
3505	بغلية	BAGHLIA
3522	بن شود	BENCHOUD
3525	بنى عمران	BENI AMRANE
3502	بودواو	BOUDOUAOU
3527	بودواو البحرى	BOUDOUAOU EL BAHRI
3519	بوزرقزق قدارة	BOUZEGZA KEDARA
3501	بومرداس	BOUMERDES
3515	تمزريت	TIMEZRIT
3520	تورقة	TAOURGA
3512	تيجلبين	TIDJELABINE
3508	جينات	DJINET
3530	حمادى	HAMMEDI
3531	خميس الخشنة	KHEMIS EL KHECHNA
3523	دلس	DELLYS
3510	زموري	ZEMMOURI
3526	سوق الحد	SOUK EL HAD
3511	سي مصطفى	SI MUSTAPHA
3506	سيدي داود	SIDI DAOUD
3513	شعبة العامر	CHAABET EL AMEUR
2524	عمال	AMMAL
3516	قورسو	CORSO
3529	لقاطة	LEGHATA
3509	يسر	ISSER
3616	البسباس	BESBES
3613	الذرعان	DREAN
3620	الزيتونة	ZITOUNA
3609	السوارخ	SOUAREKH
3612	الشافية	CHEFIA
3618	الشط	BENI AMAR
3601	الطارف	EL TARF
3607	العيون	EL AIOUN
3605	القالة	EL KALA
3611	بحيرة الطيور	LAC DES OISEAUX
3610	برحان	BERRIHANE
3603	بن مھيدى	BEN MHIDI
3608	بوثلجة	BOUTELDJA
3602	بوحجار	BOU HADJAR
3604	بوقوس	BOUGOUS
3623	حمام بنى صالح	HAMMAM BENI SALAH
3624	رمل سوق	RAML SOUK
3619	زريزر	ZERIZER
3615	شبايطة مختار	CHEBAITA MOKHTAR
3614	شھانى	CHIHANI
3617	عصفور	ASFOUR
3606	عين العسل	AIN EL ASSEL
3621	عين الكرمة	AIN KERMA
3622	وادى الزيتون	OUED ZITOUN
3702	أم العسل	OUM EL ASSEL
3701	تندوف	TINDOUF
3812	أولاد بسام	OULED BESSEM
3816	الأربعاء	LARBAA
3806	الأرجم	LARDJEM
3804	الأزھرية	LAZHARIA
3810	العيون	LAAYOUNE
3817	المعاصم	MAACEM
3814	اليوسوفية	YOUSSOUFIA
3809	برج الأمير عبد القادر	BORDJ EMIR AEK
3802	برج بونعامة	BORDJ BOU NAAMA
3805	بنى شعيب	BENI CHAIB
3822	بنى لحسن	BENI LAHCENE
3821	بوقايد	BOUCAID
3819	تامالحت	TAMELLAHT
3801	تيسمسيلت	TISSEMSSILT
3803	ثنية الأحد	THENIET HAD
3811	خميستى	KHEMISTI
3808	سيدي العنترى	SIDI LANTRI
3815	سيدي بوتوشنت	SIDI BOUTOUCHENT
3820	سيدي سليمان	SIDI SLIMANE
3818	سيدي عابد	SIDI ABED
3813	عمارى	AMMARI
3807	ملعب	MELAAB
3929	أم الطيور	OUM TIOUR
3920	أورماس	OURMES
3904	البياضة	BAYADHA
3911	الدبيلة	DEBILA
3908	الرقيبة	REGUIBA
3925	العقلة	EL OGLA
3927	المغير	EL MEGHAIR
3905	النخلة	NEKHLA
3901	الوادى	EL OUED
3919	بنى قشة	BEN GHECHA
3910	تاغزوت	TAGHZOUT
3917	تريفاوى	TRIFAOU
3924	تندلة	TINDELA
3928	جامعة	DJAMAA
3912	حسنى عبد الكريم	HASSANI ABDELKRIM
3915	دوار الماء	DOUAR EL MA
3902	ذباح	ROBBAH
3921	سطيل	STIL
3923	سيدي خليل	SIDI KHELIL
3930	سيدي عمران	SIDI AMRANE
3916	سيدي عون	SIDI AOUN
3914	طالب العربي	TALEB LARBI
3909	عمراية	HAMRAYA
3913	قاسى خليفة	HASI KHELIFA
3906	قمار	GUEMAR
3907	كوينين	KOUININE
3922	مرارة	MRARA
3918	مقران	MAGRANE
3926	ميه ونسى	MIH OUENSA
3903	وادى العلندة	OUED ALENDA
4018	أمصارة	MSARA
4016	أولاد رشاش	OULED RECHACHE
4005	الحامة	EL HAMMA
4010	الرميلة	REMILA
4017	المحمل	MAHMEL
4009	الولجة	EL OULDJA
4015	انسيغة	ENSIGHA
4013	بابار	BABAR
4004	بغاى	BAGHAI
4008	بوحمامة	BOUHMAMA
4014	تامزة	TAMSA
4007	تاوزيانات	TAOUZIANA
4012	جالل	DJELLAL
4001	خنشلة	KHENCHELA
4020	خيران	KHIRANE
4011	ششار	CHECHAR
4021	شلية	CHELIA
4006	عين الطويلة	AIN TOUILA
4003	قايس	KAIS
4002	متوسة	MTOUSSA
4019	يابوس	YABOUS
4116	أم الغظائم	OUM EL ADHAIM
4105	أولاد ادريس	OULED DRISS
4113	أولاد مؤمن	OULED MOUMEN
4110	الحدادة	HADDADA
4103	الحنانشة	HANANCHA
4109	الدريعة	DREA
4122	الرقوبة	RAGOUBA
4107	الزعرورية	ZAAROURIA
4126	الزوابى	ZOUABI
4112	المرھنة	MERAHNA
4104	المشروخة	MECHROHA
4114	بئر  بوحوش	BIR BOUHOUCHE
4108	تاورة	TAOURA
4125	ترقالت	TERRAGUELIT
4106	تيفاش	TIFFECHE
4123	خميسة	KHEMISSA
4121	سافل الويدان	SAFEL EL OUIDEN
4102	سدراتة	SEDRATA
4101	سوق أھراس	SOUK AHRAS
4120	سيدي فرج	SIDI FREDJ
4117	عين الزانة	AIN ZANA
4118	عين السلطان	AIN SOLTANE
4111	لخضارة	KHEDARA
4115	مداوروش	MDAOUROUCH
4124	وادى الكبريت	OUED KEBERIT
4119	ويالن	OUILLEN
4227	أحمر العين	AHMER EL AIN
4210	أغابال	AGHBAL
4203	الأرھاط	LARHAT
4236	الحطاطبة	ATTATBA
4223	الداموس	DAMOUS
4216	الشعيبة	CHAIBA
4235	القليعة	KOLEA
4215	الناظور	NADOR
4241	بني ملوك	BENI MILLEUK
4226	بواسماعيل	BOU ISMAIL
4205	بورقيقة	BOURKIKA
4230	بوھارون	BOUHAROUN
4201	تيبازة	TIPAZA
4242	حجرة النص	HADJERET ENNOUS
4212	حجوط	HADJOUT
4206	خميستي	KHEMISTI
4204	دواودة	DOUAOUDA
4234	سيدي راشد	SIDI RACHED
4240	سيدي سميان	SIDI SEMIANE
4213	سيدي عمر	SIDI AMAR
4232	سيدي غيالس	SIDI GHILES
4222	شرشال	CHERCHELL
4217	عين تقورايت	AIN TAGOURAIT
4225	فوكة	FOUKA
4214	قوراية	GOURAYA
4224	مراد	MERAD
4233	مسلمون	MESSELMOUN
4202	مناصرة	MENACEUR
4311	أحمد راشد	AHMED RACHEDI
4312	أولاد خلوف	OULED KHALOUF
4328	الزغاية	ZEGHAIA
4332	الشيقارة	CHIGARA
4329	العياضى برباس	EL AYADI BARBES
4326	المشيرة	EL MECHIRA
4309	بن يحي .ع. رحمان	BENYAHIA ABDERAHMANE
4314	بوحاتم	BOUHATEM
4308	تاجنانت	TADJENANET
4323	ترعى بينان	TERAI BAINEN
4319	تسادان حدادة	TASSADANE HADDADA
4316	تسالة لمطاي	TESSALA LEMTAI
4313	تيبرقنت	TIBERGUENT
4306	ثالرغمة	TELERGHEMA
4324	حمالة	HAMALA
4320	دراجى بوصالح	DERADJI BOUS.
4315	رواشد	ROUACHED
4327	سيدي خليفة	SIDI KHELIFA
4318	سيدي مروان	SIDI MEROUANE
4303	شلغوم العيد	CHELGHOUM LAID
4322	عميرة أراس	AMIRA ARRAS
4330	عين البيضاء حريش	AIN BEIDA.HAR
4325	عين التين	AIN TINN
4305	عين ملوك	AIN MELLOUK
4302	فرجيوة	FERDJIOUA
4317	قرام قوقة	GRAREM GOUGA
4301	ميلة	MILA
4321	مينار زرزة	MINAR ZARZA
4304	وادي العثمانية	OUED ATHMANIA
4307	وادى سقن	OUED SEGUEN
4310	وادى عنجة	OUED ENDJA
4331	يحيى بنى قشة	YAHIA BENI GUECHA
4418	الحسنية	HASSANIA
4408	العامرة	EL AMRA
4411	العبادية	EL ABADIA
4410	العطاف	EL ATTAF
4434	الماين	EL MAINE
4430	المختارية	MEKHATRIA
4419	بئر أولاد خليفة	BIR OULED KHELIFA
4436	بالعاص	BELAAS
4428	بربوش	BIRBOUCHE
4422	برج الأمير خالد	BORDJ EMIR KHALED
4431	بطحية	BATHIA
4425	بن عالل	BEN ALLEL
4409	بوراشد	BOURACHED
4403	بومدفع	BOU MEDFAA
4432	تاشتة زقاغة	TACHETA ZEGAGHA
4435	تبركانين	TIBERKANINE
4407	جليدة	DJELIDA
4429	جمعة أولاد الشيخ	DJEMAA OULED CHEIKH
4412	جندل	DJENDEL
4427	حسينية	HOCEINIA
4405	حمام ريغة	HAMMAM RIGHA
4404	خميس مليانة	KHEMIS MILIANA
4416	روينة	ROUINA
4417	زدين	ZEDDINE
4424	سيدي الأخضر	SIDI LAKHDAR
4421	طارق بن زياد	TARIK IBN ZIAD
4406	عريب	ARIB
4414	عين الأشياخ	AIN LECHIAKH
4426	عين البنيان	AIN BENIAN
4423	عين التركى	AIN TORKI
4401	عين الدفلى	AIN DEFLA
4420	عين السلطان	AIN SOLTANE
4433	عين بويحى	AIN BOUYAHIA
4402	مليانة	MILIANA
4413	وادى الشرفاء	OUED CHEURFA
4415	وادى جمعة	OUED DJEMAA
4512	البيوض	EL BIODH
4501	النعامة	NAAMA
4504	تيوت	TIOUT
4508	جنين بورزق	DJENIEN BOURZEG
4505	سفيسيفة	SFISSIFA
4507	عسلة	ASLA
4503	عين الصفراء	AIN SEFRA
4509	عين بن خليل	AIN BEN KHELIL
4511	قصدير	KASDIR
4502	مشرية	MECHERIA
4506	مغرار	MOGHRAR
4510	مكمن بن عمر	MAK.BEN AMAR
4607	أغالل	AGHLAL
4617	أولاد بوجمعة	OULED BOUDJEMAA
4622	أولاد دكجال	OULED KIHAL
4624	أولحسة	SIDI SAFI
4627	الأمير عبد القادر	EL EMIR ABDELKADER
4621	الحساسنة	HASSASSNA
4619	العامرية	EL AMRIA
4625	الغرابة	OULHACA GHERABA
4614	المالح	EL MALAH
4628	المساعد	EL MESSAID
4623	بني صاف	BENI SAF
4605	بوزجار	BOUZEDJAR
4626	تادماى	TADMAYA
4608	تارقة	TERGA
4610	تامزورة	TAMZOURA
4620	حاسى الغلة	HASSI EL GHELLA
4604	حمام بو حجر	HAMMAM BOUHADJAR
4612	سيدي بن عدة	SIDI BEN ADDA
4615	سيدي بومدين	SIDI BOUMEDIENE
4602	شعبة اللحم	CHAABET EL HAM
4611	شنتوف	CHENTOUF
4613	عقب الليل	AOUBELIL
4609	عين الأربعاء	AIN EL ARBAA
4618	عين الطلبة	AIN TOLBA
4603	عين الكيحل	AIN KIHAL
4601	عين تموشنت	AIN TEMOUCHENT
4616	وادى الصباح	OUED SABAH
4606	وادى برقش	OUED BERKECHE
4707	العطاف	EL ATTEUF
4706	القرارة	EL GUERRARA
4702	المنيعة	EL MENIAA
4704	بريان	BERRIANE
4710	بونورة	BOUNOURA
4711	حاسي فحال	HASSI FEHAL
4712	حاسي قارة	HASSI GARA
4708	زلفلنة	ZELFANA
4709	سبسب	SEBSEB
4703	ضيعة بن دھاھوة	DHAYET BENDH.
4701	غرداية	GHARDAIA
4705	متليلي	METLILI
4713	منصورة	MANSOURA
